,STATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
192,USW00093738,2015-07-12,2.01,0.0,0.0,73,86,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,USW00093738,2015-07-13,2.91,0.21,0.0,72,78,68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,USW00093738,2015-07-14,5.82,0.0,0.0,76,87,70,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
195,USW00093738,2015-07-15,9.84,0.0,0.0,76,85,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,USW00093738,2015-07-16,5.37,0.0,0.0,71,81,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,USW00093738,2015-07-17,6.71,0.0,0.0,71,81,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,USW00093738,2015-07-18,5.37,0.05,0.0,77,87,72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,USW00093738,2015-07-19,3.58,0.0,0.0,82,94,69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,USW00093738,2015-07-20,4.7,0.0,0.0,83,92,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,USW00093738,2015-07-21,3.8,0.0,0.0,80,87,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,USW00093738,2015-07-22,7.83,0.0,0.0,77,85,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,USW00093738,2015-07-23,4.92,0.0,0.0,74,83,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,USW00093738,2015-07-24,4.25,0.0,0.0,73,85,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,USW00093738,2015-07-25,3.58,0.0,0.0,75,88,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,USW00093738,2015-07-26,8.28,0.0,0.0,78,88,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
